v8-version,5,1,281,95,0
code-creation,Handler,4,0x13b774f1e0a0,939,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f1e460,188,"DoubleToIStub"
code-creation,Stub,15,0x13b774f1e520,467,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f1e700,1508,"RecordWriteStub"
code-creation,LoadIC,10,0x13b774f1ed00,514,"A load IC from the snapshot"
code-creation,Handler,4,0x13b774f1ef20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1efa0,467,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f1f180,415,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1f320,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f1f3a0,264,"An IC handler from the snapshot"
code-creation,Stub,16,0x13b774f1f4c0,172,"CompareICStub"
code-creation,Stub,15,0x13b774f1f580,443,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1f740,112,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1f7c0,443,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1f980,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f1fa00,443,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f1fbc0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f1fc40,160,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f1fce0,791,"FastNewClosureStub"
code-creation,Stub,17,0x13b774f20000,150,"ToBooleanICStub"
code-creation,Stub,3,0x13b774f200a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,0x13b774f20180,503,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,0x13b774f20380,579,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,0x13b774f205e0,495,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,4,0x13b774f207e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f20860,116,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f208e0,555,"ArrayNArgumentsConstructorStub"
code-creation,Stub,15,0x13b774f20b20,151,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f20bc0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x13b774f20f80,464,"A call IC from the snapshot"
code-creation,Handler,4,0x13b774f21160,947,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f21520,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,3,0x13b774f215a0,1387,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,3,0x13b774f21b20,188,"DoubleToIStub"
code-creation,Stub,15,0x13b774f21be0,419,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f21da0,443,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f21f60,224,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f22040,511,"ArrayNoArgumentConstructorStub"
code-creation,Stub,15,0x13b774f22240,284,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f22360,328,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f224c0,320,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f22600,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f22680,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f22700,204,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f227e0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f22860,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f228e0,116,"An IC handler from the snapshot"
code-creation,CallIC,12,0x13b774f22960,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x13b774f229e0,464,"A call IC from the snapshot"
code-creation,Stub,15,0x13b774f22bc0,151,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f22c60,212,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f22d40,212,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f22e20,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f22ea0,244,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f22fa0,935,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f23360,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f233e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f23460,117,"ToNumberStub"
code-creation,CallIC,12,0x13b774f234e0,458,"A call IC from the snapshot"
code-creation,Handler,4,0x13b774f236c0,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f23740,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f237c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f23840,116,"An IC handler from the snapshot"
code-creation,KeyedLoadIC,11,0x13b774f238c0,393,"A keyed load IC from the snapshot"
code-creation,KeyedLoadIC,11,0x13b774f23a60,1049,"A keyed load IC from the snapshot"
code-creation,Stub,3,0x13b774f23e80,968,"NameDictionaryLookupStub"
code-creation,Stub,15,0x13b774f24260,467,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f24440,204,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f24520,945,"SubStringStub"
code-creation,Stub,3,0x13b774f248e0,791,"FastNewClosureStub"
code-creation,Stub,15,0x13b774f24c00,419,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f24dc0,415,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f24f60,385,"JSEntryStub"
code-creation,CallIC,12,0x13b774f25100,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x13b774f25180,464,"A call IC from the snapshot"
code-creation,Stub,3,0x13b774f25360,345,"InstanceOfStub"
code-creation,Stub,15,0x13b774f254c0,447,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f25680,151,"BinaryOpICStub"
code-creation,StoreIC,13,0x13b774f25720,528,"A store IC from the snapshot"
code-creation,Handler,4,0x13b774f25940,120,"An IC handler from the snapshot"
code-creation,Stub,17,0x13b774f259c0,192,"ToBooleanICStub"
code-creation,KeyedStoreIC,14,0x13b774f25a80,422,"A keyed store IC from the snapshot"
code-creation,KeyedStoreIC,14,0x13b774f25c40,3494,"A keyed store IC from the snapshot"
code-creation,Stub,3,0x13b774f26a00,1526,"RecordWriteStub"
code-creation,Stub,3,0x13b774f27000,1508,"RecordWriteStub"
code-creation,Stub,3,0x13b774f27600,1492,"RecordWriteStub"
code-creation,Stub,3,0x13b774f27be0,600,"RecordWriteStub"
code-creation,Handler,4,0x13b774f27e40,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f27ec0,224,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f27fa0,939,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f28360,120,"An IC handler from the snapshot"
code-creation,CallIC,12,0x13b774f283e0,464,"A call IC from the snapshot"
code-creation,Handler,4,0x13b774f285c0,951,"An IC handler from the snapshot"
code-creation,CallIC,12,0x13b774f28980,113,"A call IC from the snapshot"
code-creation,CallIC,12,0x13b774f28a00,464,"A call IC from the snapshot"
code-creation,Handler,4,0x13b774f28be0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f28c60,120,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f28ce0,443,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f28ea0,348,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f29000,443,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f291c0,244,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f292c0,204,"BinaryOpICStub"
code-creation,Stub,17,0x13b774f293a0,204,"ToBooleanICStub"
code-creation,Handler,4,0x13b774f29480,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f29500,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f29580,212,"BinaryOpICStub"
code-creation,Stub,15,0x13b774f29660,204,"BinaryOpICStub"
code-creation,CallIC,12,0x13b774f29740,113,"A call IC from the snapshot"
code-creation,Handler,4,0x13b774f297c0,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f29840,116,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f298c0,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f29940,204,"BinaryOpICStub"
code-creation,Stub,3,0x13b774f29a20,117,"StubFailureTrampolineStub"
code-creation,Stub,3,0x13b774f29aa0,991,"NameDictionaryLookupStub"
code-creation,Stub,3,0x13b774f29e80,463,"FastNewContextStub"
code-creation,Handler,4,0x13b774f2a060,120,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f2a0e0,240,"An IC handler from the snapshot"
code-creation,Handler,4,0x13b774f2a1e0,120,"An IC handler from the snapshot"
code-creation,Stub,3,0x13b774f2a260,2388,"RecordWriteStub"
code-creation,Stub,3,0x13b774f2abc0,1187,"FastNewContextStub"
code-creation,Stub,15,0x13b774f2b080,447,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f2b240,116,"An IC handler from the snapshot"
code-creation,Stub,15,0x13b774f2b2c0,224,"BinaryOpICStub"
code-creation,Handler,4,0x13b774f2b3a0,116,"An IC handler from the snapshot"
